# Dictionnaire de racines pures (fototeny) malgaches pour malagasy-stemmer
# Format: racine\tcatégorie (v=verbe, n=nom, adj=adjectif, adv=adverbe, prep=préposition, pron=pronom, conj=conjonction, num=numéral, misc=divers)
# Les entrées DOIVENT être triées par ordre alphabétique (requis par fst::MapBuilder).
# Sources: Dictionnaire de référence, Kaikki/Wiktionnaire, Rakibolana Malagasy de l'Académie.
aba	n
ababe	n
abado	misc
abahana	v
abaribary	v
abiba	n
abidy	n
abilimborona	n
abily	n
abo	n
aboalina	n
abony	n
aboretaka	v
abosy	n
aby	v
adabo	misc
adabolahy	n
adabovavy	n
adala	adj
adalo	n
adana	n
adaoro	n
adary	n
adibidijady	n
adidina	adj
adiditra	v
adidy	n
adijady	n
adijidsefo	misc
adikasajy	n
adiko	n
adilotra	v
adimizana	n
adina	n
adinandriana	n
adinkisa	n
adiny	n
adiresy	n
adisanina	n
adisaona	n
aditsika	v
aditsimay	n
adizaoza	n
adokadoka	n
adonadona	n
adra	n
adre	n
adrisa	n
advantista	n
ady	n
adyamparimbona	n
adyantrano	n
adyantsanga	n
aera	n
afafy	v
afahy	v
afaingoka	adj
afaitra	v
afajaza	adj
afaka	v
afakampitso	adv
afakomaly	adv
afana	n
afara	v
afatobava	adj
afatotra	v
afatra	v
afatrafatra	n
afatrfatra	n
afatsy	misc
afero	n
aferonkena	n
aferontanivaventy	n
aferontany	n
afina	n
afintsa	n
afioka	v
afitra	n
afo	n
afobe	n
afofandiovana	n
afokafoka	n
afokasoka	n
afomanga	n
afonafona	n
afonanahary	n
afonangatra	n
afondolo	n
afondraingy	n
afontsy	n
aforano	n
afotroa	n
afovato	n
afovatohazo	n
afovoa	v
afovoany	adv
afrika	n
afrikanina	adj
afy	n
agita	v
agoagaga	n
agronoma	n
agronomia	n
agy	n
ahana	n
ahanahana	n
ahandratsy	n
ahasiny	misc
ahay	v
aheby	v
ahiapana	n
ahibahoaka	n
ahibano	n
ahibibilava	n
ahidambo	n
ahidrano	n
ahidratsy	n
ahidresy	n
ahidrindrina	n
ahifatra	n
ahikongona	n
ahimafana	n
ahimka	n
ahimoso	n
ahipalana	n
ahipisaka	v
ahitra	n
ahitrakanga	n
ahitrakoholahy	n
ahitrakohovavy	n
ahitrakondro	n
ahitrombilahy	n
ahitsiriry	n
ahitsyankavia	v
aho	pron
ahoana	adv
aholo	n
ahona	n
ahonahona	n
ahontsana	v
ahontsina	v
ahotra	n
ahtra	adj
ahy	n
aiay	n
aidina	n
aidinono	n
aihina	n
aika	n
aikany	v
aiky	misc
aima	n
aimiampify	adj
aina	n
ainga	n
ainginaingina	n
aingitra	n
aingitraingitra	n
aiotra	n
aisy	n
aiva	v
aivo	misc
aivoka	n
aiza	v
aizana	n
ajananaika	v
ajima	n
ajimandrafia	n
ajokajoka	n
ajokgioka	n
aka	v
akabo	n
akademia	n
akaiky	n
akaito	misc
akaka	n
akalana	n
akalo	n
akaloha	n
akana	n
akanakana	n
akanga	n
akanjo	n
akanjoba	n
akanjobaliaka	n
akanjobe	n
akanjobilaozy	n
akanjofanamiana	n
akanjolava	n
akanjolobaka	n
akanjotsylena	n
akaona	v
akasia	n
akata	n
akatamaimbo	n
akatasavola	n
akatra	v
akay	misc
akekena	misc
aketa	n
akia	n
akio	n
akisa	adj
ako	n
akofa	n
akoho	n
akohokely	n
akoholahy	n
akohovavy	n
akohovositra	n
akoma	n
akondro	n
akora	n
akoralava	n
akorambiby	n
akorandranomasina	n
akoranjavatra	n
akorany	n
akoravato	n
akoriasa	n
akory	n
akotifahana	n
akotry	n
akotso	v
akoty	n
aky	n
ala	n
aladitra	n
alahady	n
alahamady	n
alahasaty	n
alahelo	n
alaimora	n
alainjazabodo	n
alaivana	n
alaizany	n
alaka	n
alakaforo	n
alakamisy	n
alakamo	n
alakaosy	n
alakarabo	n
alakasy	n
alakely	n
alalana	n
alamanitra	n
alamboronala	n
alamikitroka	n
alamo	n
alampiery	n
alana	v
alanalana	n
alankonko	n
alaovalo	v
alarobia	n
alatrano	v
alatsinainy	n
alavoady	n
alazy	n
albasitra	n
aleloia	n
alemanina	n
aleo	n
aleokomaty	n
alika	n
alikisa	adj
alimanaka	n
alimananaka	n
alimbolo	n
alimo	n
alimpito	adj
alina	n
alinalina	adj
alinjinery	n
alinkely	n
alitara	n
aliziny	n
aljebra	n
alkaola	n
alkola	n
alo	v
aloalontanyamandanitra	misc
alobe	n
alobotra	n
aloesy	n
alofisaka	n
aloha	v
alohotsy	n
aloiloy	n
aloka	n
alokaloka	n
alokely	n
alokola	n
alomanehaka	n
alona	n
alonalona	n
alono	v
alovo	n
aloy	n
alzerianina	adj
amalo	n
amalomalandy	n
amalombandana	n
amalompotaka	n
amalona	n
amana	adj
amaninomby	n
amany	n
ambadika	n
ambainday	n
ambaka	adj
ambakambakany	n
ambakiloha	n
ambakoany	n
ambalambala	n
ambalavelona	n
ambamboana	n
ambana	v
ambangony	n
ambangovangony	n
ambaniandro	n
ambanilanitra	n
ambanimandry	n
ambanimasoandro	misc
ambaniravinkazo	n
ambanivohitra	n
ambanivolo	n
ambany	adv
ambara	n
ambarabahy	n
ambaraboaka	n
ambaradeda	n
ambaraka	prep
ambaramamo	n
ambaramaso	n
ambarambana	n
ambarasaha	n
ambaratonga	n
ambarivatrindolo	n
ambasadaoro	n
ambasy	n
ambatokelivava	adj
ambatonikaky	n
ambatra	n
ambatry	n
ambavahoana	v
ambaviny	n
ambay	n
ambeao	n
ambely	n
ambentinteny	n
ambeo	n
amberivatrindolo	n
amberivatry	n
ambezo	misc
ambia	v
ambiaty	n
ambihotra	n
ambiko	n
ambilombazana	adj
ambimbava	n
ambina	n
ambinina	adj
ambioka	misc
ambiroa	n
ambirondolo	n
ambivitra	v
ambizo	n
ambka	n
ambo	n
amboa	n
amboabe	n
amboadia	n
amboafotsikely	n
amboafotsitenda	n
amboahaolo	n
amboakelinandriamanitra	adj
amboakelindrano	n
amboakelintenda	n
amboalambo	n
amboalambokely	n
amboalambotantely	n
amboalohany	adv
amboamboa	adj
amboamboankibo	n
amboampe	n
amboanala	n
amboankena	n
amboara	n
amboarampeo	n
ambody	n
amboho	v
ambokony	n
ambolo	n
ambolokely	n
ambongadiny	n
ambonimandry	n
ambonimbary	n
amboninjato	n
ambonivohitra	n
ambontso	n
ambony	adv
ambonyindrindra	n
ambora	n
amboradara	n
amboramaitso	n
amboramangidy	n
amboramanitra	n
amborasaha	n
amborasamanitra	n
amboravato	n
amborifotsy	n
amborodao	n
ambosy	n
ambotonona	n
ambovo	n
ambozizy	n
amby	n
amena	n
amerikanina	adj
amiana	n
amianta	n
amiba	n
amina	misc
aminizao	adv
aminizay	adv
amiraly	n
amondra	n
amontana	n
amorona	n
amorontsiraka	adv
ampaha	n
ampahadiminy	n
ampahadimy	n
ampahafito	n
ampahafitony	n
ampahafolo	misc
ampahafolony	n
ampahany	n
ampahasivy	n
ampahatelo	n
ampahatelony	n
ampahavalo	n
ampahavalony	n
ampahazatony	n
ampahefany	n
ampahefatra	n
ampahenina	n
ampaheniny	n
ampaingo	n
ampaka	n
ampakarina	v
ampalibe	n
ampaly	n
ampamaky	n
ampamatoranjanakomby	v
ampamelomandroa	n
ampamelomantokana	n
ampamoaka	n
ampamohalambo	misc
ampamolahana	n
ampanataovana	n
ampandraofana	n
ampanga	v
ampangafisaka	n
ampangandrano	n
ampango	n
ampangorimbary	n
ampangoro	n
ampanjatoana	n
ampanoa	n
ampanondro	n
ampanonona	n
amparakatsakatsaka	v
amparapaingo	n
amparasily	n
amparimbona	n
amparitra	n
ampatra	n
ampehezana	n
ampela	n
ampelambantotra	n
ampelandohalika	n
ampelasalasala	n
ampelavao	n
ampemba	n
ampemby	n
ampempa	n
ampentany	n
amperinasa	misc
ampetribola	n
ampetrika	n
ampianahana	v
ampiantany	misc
ampify	n
ampijalina	v
ampimbana	n
ampinga	n
ampingaharatra	n
ampira	misc
ampiravahana	n
ampirina	n
ampita	v
ampitika	n
ampitotoambary	v
ampitovina	v
ampitra	n
ampitso	n
ampizafy	n
ampo	adj
ampoasa	v
ampody	n
ampofo	n
ampofoana	adv
ampoizina	adj
ampoka	adj
ampola	n
ampombo	n
ampondo	n
ampondra	n
amponga	n
ampongabe	n
ampongabendanitra	n
ampongalahy	n
ampongandandy	n
ampongantaolo	n
ampongantsofina	n
ampongatany	n
ampongatapaka	n
ampongatary	n
ampongavilany	n
ampongy	n
ampovoa	misc
ampy	adj
amy	misc
ana	n
anabavy	n
anadahy	n
anaka	n
anakamonto	n
anakampo	v
anakanaka	n
anakandriamaso	n
anakandriana	n
anakandrianify	n
anakandro	n
anakandroana	misc
anakaraka	n
anakatsimba	n
anakatsotsy	n
anakidory	n
anakotsohotso	n
analasosa	n
anamadinika	n
anamafaitra	n
anamalaho	n
anamamy	n
anambe	n
anamboraka	n
anamerana	n
anampatsa	n
anampoza	n
anana	n
ananambo	n
ananaomby	n
anandaingo	n
anandrano	n
anankiray	n
anankiroa	adj
ananovana	misc
anantarika	n
anantsinahy	n
anantsingita	n
anantsonga	n
anao	pron
anarambosotra	n
anaranaiombonana	n
anaranoana	v
anareo	n
anarina	adj
anarsisma	n
anasa	n
anatra	n
anatrandraka	n
anatrehana	adv
anatsiko	misc
anatsoy	n
anaty	prep
anay	n
anazavana	v
andafiandrefana	adv
andafiatsimo	adv
andafiavaratra	adv
andafy	adv
andakamboho	prep
andakamosina	v
andakandrano	n
andakira	v
andala	v
andalambary	n
andalana	v
andalandalana	n
andalandrambony	n
andamosina	misc
andaniny	n
andao	v
andavanandro	adv
andefimandry	n
andefitra	n
andeuo	n
andevo	n
andevokorova	n
andianolona	n
andiantantely	n
andiany	n
andilana	n
andimy	n
andininy	n
anditra	misc
ando	n
andoha	prep
andohalambo	n
andohamalona	n
andohariana	v
andohasna	misc
andolo	n
andosirana	v
andra	v
andraikitra	n
andraka	n
andrakomora	n
andrana	n
andranandrana	v
andrandra	n
andranobe	n
andranonampinga	n
andrao	adv
andrareza	n
andrarezina	n
andravana	n
andray	n
andre	n
andrefa	v
andrefana	n
andriamanamora	n
andriamanitra	n
andriamanjaka	n
andriamatoa	n
andriambaventy	n
andriambavilanitra	n
andriambavirano	n
andriambavy	n
andriambe	n
andriambolafotsy	n
andriambololonkazo	n
andriamborivory	n
andriamby	n
andriamparany	n
andriana	n
andrianahambana	n
andrianaivo	n
andriananahary	n
andriandahy	n
andrianify	n
andrianjahonoany	n
andriantany	n
andrindrinantrano	n
andrisa	n
andritsilaitsy	n
andrivolahy	n
andro	n
androany	adv
androbe	n
androna	misc
androndra	n
androngo	n
androny	n
androranga	n
androvondrovo	misc
andry	n
andryalina	n
anefa	conj
anelanelana	n
anentana	n
anerany	adj
anfaika	misc
anga	n
angabohabo	n
angade	misc
angadinomby	n
angadrano	n
angady	n
angaha	v
angalisa	n
angaloha	v
angamaty	n
angamba	n
angamenavava	n
angamerana	n
angana	n
anganga	adj
anganja	v
angano	misc
anganongano	n
angao	n
angaraboraraka	n
angaralahy	n
angaranady	n
angaratra	n
angaredona	misc
angareso	n
angaroa	n
angata	n
angatra	n
angavo	n
angavoady	n
angavodiana	n
angavy	n
ange	v
angeafotsy	n
angeboka	n
angefa	v
angelingoaika	n
angelinkary	n
angeloka	n
angely	n
angentsana	n
angeso	n
angidimasombika	n
angidimbe	n
angidimby	misc
angidina	n
angidinandriana	n
angidindrano	n
angidindronono	n
angidinkely	n
angidintsakay	n
angifvo	n
angilo	n
angira	v
angitra	n
angitrangitra	n
angivy	n
angka	n
anglikanina	n
anglisy	n
angoa	n
angoaka	n
angoatenda	n
angoby	n
angoho	n
angoja	v
angola	v
angoly	n
angona	v
angondilatra	n
angongo	n
angoro	misc
angorodao	n
angorodaovava	n
angoronandamba	n
angorosy	n
angoty	n
angovy	n
angozony	n
angy	n
anhina	n
aniana	n
anie	v
anika	n
anikeheo	v
anilany	n
animbato	n
anina	n
aninangatra	n
anindambo	n
anindrana	misc
anintafara	n
anio	adv
anioalina	adv
aniritra	adj
aniversera	misc
anivo	n
anivona	n
anizety	n
anjady	n
anjafy	n
anjaika	n
anjaingy	n
anjaka	n
anjakanjaka	n
anjala	misc
anjama	v
anjamanga	n
anjamba	v
anjana	n
anjananjana	adj
anjano	n
anjara	n
anjavidy	n
anjay	n
anjelisy	n
anjely	n
anjerimanontolo	n
anjoana	n
anjolofo	n
anjomara	n
anjombona	n
anjona	n
anjonjany	n
anjoria	n
ankabeazany	n
ankalalahana	n
ankalamanjana	v
ankamantatra	n
ankamehana	v
ankanifisana	v
ankanonona	n
ankapetrahana	v
ankapobe	v
ankapobeny	n
ankaranany	v
ankaratsiana	n
ankaromiafina	misc
ankasa	adj
ankaso	n
ankasoavana	adv
ankatsa	adj
ankatsiodrivotra	adj
ankay	n
ankazo	n
ankazondrary	n
ankehitriny	v
ankibe	n
ankifidy	n
ankihikely	n
ankikely	n
ankilahila	v
ankilany	v
ankimbolana	n
ankina	misc
ankitsiloha	v
ankitsirano	v
ankizilahy	n
ankizivavy	n
ankizy	n
ankoala	adj
ankoatra	v
ankoay	n
ankobanandro	n
ankobany	v
ankobohobo	v
ankodahoda	v
ankodivirana	n
ankody	n
ankohonana	n
ankohonohono	n
ankolabolana	n
ankolafiny	n
ankolany	n
ankona	n
ankonjo	n
ankosobolamena	n
ankosotra	n
ankotralahy	n
ankotrio	v
ankotsiodrivotra	v
anky	n
ano	v
anofela	n
anoka	n
anoloana	v
anona	n
anonanona	n
anongona	n
anonovina	misc
anotra	n
antadiny	n
antafara	n
antaifasy	n
antaimanambondro	n
antaimoro	n
antaisaka	n
antalihazo	n
antamba	n
antambahoaka	n
antambo	n
antananarivo	n
antandroy	n
antanona	n
antanosy	n
antara	n
antaravelona	adj
antefa	n
antehe	n
antehitra	n
antena	v
antenatena	n
antendriahitra	n
antendromaso	n
antendry	v
antenimiera	n
antentona	n
antibavy	n
antidahy	n
antikantika	n
antily	n
antima	n
antitra	adj
antlavany	misc
antoana	n
antoandro	n
antoandrobenanahary	n
antoka	n
antoko	n
antomotra	v
antondraharaha	n
antonery	n
antongomby	n
antoniny	v
antonjavatra	n
antonona	adj
antonta	n
antony	n
antorabintsy	n
antorabody	n
